zip_code,arrest_count,lat,lon,borough,crime_per_10k,murder,rape,robbery,fel_assault,burglary,gr_larceny,gla,total,borough_display
10454,3753,40.8050555039876,-73.91833741556246,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10455,5427,40.81294345236926,-73.9057838226131,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10456,4369,40.83223662501418,-73.90722503132916,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10457,7508,40.84320253096571,-73.89925004338563,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10458,4222,40.863359784730925,-73.88289501572537,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10459,2574,40.828345726837014,-73.88983030536713,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10460,1378,40.841920664757,-73.87865885295629,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10461,2075,40.843828902720645,-73.83916593855952,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10462,1297,40.84772740212871,-73.8640596251852,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10463,1670,40.88184194206541,-73.90677159064455,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10463,1670,40.875495817624184,-73.9104920036685,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10464,39,40.8710435324421,-73.80353265360142,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10464,39,40.85281142014665,-73.77028294151067,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10464,39,40.84775297643196,-73.78673603370592,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10465,1568,40.82714348872775,-73.81464540428327,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10466,3045,40.89522262194308,-73.84271399870894,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10467,2521,40.875157136675476,-73.8750370539714,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10468,2698,40.86953470761783,-73.90353475302732,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10469,1415,40.86860840392282,-73.84213684059233,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10470,1032,40.90321114175869,-73.8577406919367,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10471,134,40.89499186537246,-73.9025305197112,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10472,3515,40.83008222343516,-73.87212507396991,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10473,769,40.81304860550173,-73.8549062453122,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10474,1001,40.80859456686005,-73.88641956809111,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10475,457,40.87189803947317,-73.8228029016694,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
11001,42,40.733849784673225,-73.70584870079789,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11004,26,40.74990950312809,-73.7141320158295,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11005,27,40.756084659367446,-73.7163014432423,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11040,50,40.746799893373094,-73.7038847298374,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11101,635,40.74340367096328,-73.94459550563693,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11102,283,40.773471849500346,-73.92863811815482,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11103,2466,40.76391124584706,-73.91304993059563,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11104,454,40.74284327302219,-73.91957308240816,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11105,263,40.78137138775039,-73.90564308583906,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11106,464,40.767274111221354,-73.93676207196361,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11109,1227,40.74439490720662,-73.9582654915129,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11201,3351,40.69785149695154,-73.9911257867805,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11203,1974,40.65083298019809,-73.93400163861072,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11204,1450,40.621975382469415,-73.97895564451966,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11205,1209,40.69441061741978,-73.96723144492658,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11206,2969,40.70204387007419,-73.93965653647514,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11207,6817,40.670731969877096,-73.89563627390758,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11208,1786,40.66484865279889,-73.86585598359166,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11209,618,40.61584037226042,-74.02921675570994,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11210,2499,40.62578636729269,-73.94370340414828,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11211,1168,40.717435530032695,-73.9545448100126,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11212,3854,40.66381707598695,-73.90531544005113,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11213,3076,40.672016226719826,-73.93498654212117,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11214,2313,40.590824757003624,-73.99765630836299,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11215,383,40.66494336229539,-73.9806002842381,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11216,3419,40.68135778904252,-73.94779251378817,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11217,3262,40.68349475028706,-73.9772865303563,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11218,330,40.64813329787398,-73.97525023144934,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11219,1933,40.63614925794465,-73.99929190499343,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11220,2278,40.64294137048373,-74.02452127241438,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
