zip_code,lat,lon,nearest_subway_dist_miles,nearest_subway
10168,40.75125320136182,-73.97679894219833,0.03623157635082683,Grand Central-42 St
10055,40.75915138389161,-73.97381205246673,0.12000986373480324,5 Av/53 St
10105,40.76294268772775,-73.97911663533974,0.1351617734349658,57 St
10118,40.74856323602679,-73.98606606565836,0.1451069941369814,34 St-Herald Sq
10176,40.75543536043711,-73.97882121175698,0.185720856465583,Grand Central-42 St
10162,40.76956563876588,-73.95131722930776,0.4932120997609843,72 St
10019,40.766868496753986,-73.99162298264433,0.49405278250368134,50 St
10111,40.759104474355865,-73.97776660776987,0.19014245525508391,5 Av/53 St
10170,40.752615680554996,-73.97602263654055,0.0812411132098487,Grand Central-42 St
10112,40.75707080660884,-73.97248392783237,0.038991078956673794,51 St
10122,40.751879030715784,-73.99175574192739,0.1145559769158975,34 St-Penn Station
10107,40.76623208047336,-73.98250998213328,0.1446935254462104,59 St-Columbus Circle
10103,40.760432466002406,-73.97688285572882,0.11591742330336942,5 Av/53 St
10153,40.76372417897737,-73.97252756826028,0.09391729665052428,5 Av/59 St
10174,40.75162213071308,-73.97546151989414,0.04210290116795717,Grand Central-42 St
10166,40.75351214528941,-73.97686568725611,0.11980024142303126,Grand Central-42 St
10169,40.75444981835975,-73.97630090807031,0.1883158310087167,Grand Central-42 St
10167,40.75451563525563,-73.9747039118296,0.23197528509188228,Grand Central-42 St
10177,40.75512603772011,-73.97605181439012,0.23759120038766302,Grand Central-42 St
10172,40.75528160670857,-73.97415056633311,0.19887670758650158,51 St
10171,40.75597537180188,-73.97415974050742,0.17314765905443788,51 St
10154,40.7576560718747,-73.9724079601334,0.050684951003185555,51 St
10152,40.75845825248366,-73.9719981715476,0.09339231095591685,51 St
10270,40.70648127754924,-74.00781855193577,0.0914743408202869,Wall St
10104,40.7603308297268,-73.97867241564468,0.21643460473040654,47-50 Sts-Rockefeller Ctr
10271,40.70825149243947,-74.01041729558229,0.11060445181370682,Wall St
10110,40.75393206204424,-73.9812848452999,0.04741603363064656,5 Av
10175,40.75421232525184,-73.97984675832704,0.10944352296456873,Grand Central-42 St
10151,40.76323145880788,-73.973248661093,0.10919935985044091,5 Av/59 St
10173,40.75393751527975,-73.9789919494773,0.08176592778295896,Grand Central-42 St
10178,40.75082629966037,-73.97759539083695,0.08338797157552116,Grand Central-42 St
10119,40.75130540545466,-73.99258787977956,0.08751120524821139,34 St-Penn Station
10121,40.75009683316115,-73.99212503107864,0.07611793123697867,34 St-Penn Station
10115,40.81083228823444,-73.96388056505938,0.2151929947959081,116 St-Columbia University
10123,40.75154031806959,-73.99066775472483,0.08490486756427844,34 St-Penn Station
10106,40.76543154558243,-73.98091352641438,0.05581839728098784,57 St-7 Av
10158,40.74894865478827,-73.97519535262727,0.18094790843802586,Grand Central-42 St
10041,40.70318494418925,-74.00939864414877,0.24817158894614577,Whitehall St-South Ferry
10120,40.749888823060914,-73.98909625560847,0.08214976691318247,34 St-Herald Sq
10278,40.715283630454714,-74.0043615274947,0.15390966246822538,Brooklyn Bridge-City Hall
10155,40.761005897936705,-73.96799233859187,0.10490161309150163,59 St
10022,40.75779579564197,-73.96436379408493,0.324130019115149,Lexington Av/53 St
